Features,rf_mean_x,rf_75%_x,rf_50%_x,rf_25%_x,rf_mean_y,rf_75%_y,rf_50%_y,rf_25%_y,rf_mean,rf_75%,rf_50%,rf_25%,dts_mean_x,dts_75%_x,dts_50%_x,dts_25%_x,dts_mean_y,dts_75%_y,dts_50%_y,dts_25%_y,dts_mean,dts_75%,dts_50%,dts_25%
Title tag,0.2277664533821187,0.23339832216149445,0.22582054966546566,0.21814868196446183,0.2156749767255759,0.2330158333915562,0.2152121816349496,0.2066027762110294,0.23334738008281283,0.2555225049141556,0.23104867655207095,0.21694121387223486,0.5455178589612701,0.5555325895635138,0.5411524074061147,0.5307142719904135,0.5279434624198043,0.5506432526661854,0.5267429894997955,0.5048345191810849,0.5899194352991901,0.6080664348682663,0.5946839148652956,0.5691864084963918
Corp_Rate_Link:40,0.0945961650003307,0.1030315520769897,0.091653359683198,0.08417473991222091,0.08783759125228256,0.09516753447537908,0.08765195074447713,0.07897165062640181,0.08468101606058295,0.09411889042400548,0.08733767432411159,0.0763223256973646,0.025597645014707716,0.03978177366599452,0.02391046920119325,0.009369031103241485,0.012245806315618736,0.022977184620381817,0.0036701973015052657,0.0,0.01968572327542949,0.028480812464649133,0.006649586575480839,0.0
Corp_Rate_Link:20,0.08694467169000952,0.09193328090496009,0.08655733479674327,0.08020351740215616,0.08281735638289273,0.09093131780547065,0.08231530662341607,0.07596603444239794,0.08137169912573887,0.08762474206174833,0.07800331438460036,0.07373997120103276,0.023734372267328604,0.03216439929576284,0.0208773114470125,0.012758354316698438,0.02552237527266445,0.03626292475499791,0.022888356802412132,0.005135757503038208,0.02887544635510711,0.060669216392224216,0.018512301032856553,0.0032739497849391176
Is_twitter,0.08098954923724952,0.08439590515404595,0.08042204284065146,0.07690389648307136,0.06829310332203611,0.07588761866630192,0.06690863182555407,0.0625568606846352,0.061372880911480666,0.06798817421706527,0.0626893124052196,0.05306747452476462,0.0274279480261947,0.0288737760373386,0.02103719966730266,0.010408997479530755,0.029804221880756356,0.038385731098775425,0.023770684431862116,0.010445914466366363,0.028143970034305726,0.03449926312262948,0.017574183498920093,0.012076394177008322
facebook,0.07917883095211953,0.08872494374718985,0.07987959762535443,0.07400905450516088,0.07863231194286319,0.08410220884908454,0.07827378466034235,0.07166390567743351,0.07403280793499581,0.084465068803564,0.07221557618424035,0.06383451231640491,0.15296500315757663,0.1771401129308918,0.15572415484918428,0.14113277910408062,0.1366732448066273,0.15511908648606687,0.1426317560064223,0.12449446353782961,0.09123396992892344,0.10268472820588549,0.09010153646833469,0.07079686720591674
HTML_Length<10000,0.06094291136561488,0.0678601952373955,0.061893104475865046,0.05433072830365225,0.06282572472963079,0.06835560664781973,0.0617063658229894,0.056269885849967796,0.05476523765179857,0.06053260572916852,0.055851367343764044,0.049140458587845263,0.01623788962859441,0.02606678806720505,0.009701588720777782,0.007162010103245671,0.018757102121350913,0.024684578458994078,0.016401654363544734,0.003952940016948075,0.012526913935652573,0.01766800135220128,0.009553769801668326,0.004805149419511572
Special_char,0.05923941857847557,0.06626104637871878,0.05920752357412867,0.05343389128013882,0.04956479007274684,0.0541937972245332,0.05017415614558224,0.04563723953299689,0.05904616168391534,0.06755502605767187,0.060905341683620814,0.04896699917124892,0.05172283049741048,0.0694506590935918,0.05372089104720425,0.03144550094302093,0.02909129811724178,0.04743441926455577,0.02505647280109654,0.010136128435374078,0.02790954569233763,0.047420650131290515,0.01948067080430194,0.007081961340106072
Corp_Rate_All:40,0.05064075987011897,0.057943577995558604,0.05259795034301554,0.04410489694613872,0.0558175161902266,0.06143720007669001,0.05389532770609674,0.051874855711795606,0.05438742319089142,0.059242170162148076,0.05277680762223062,0.046417156900862344,0.01829652856006068,0.03045806448587656,0.018431195798718963,0.003537823200918523,0.011954492280554788,0.0225281313163207,0.005781339400453507,0.0,0.013262687463309487,0.024986373229545167,0.011947427241031858,0.0021334091135306126
Corp_Rate_All:20,0.04682412265178258,0.054538621175565065,0.045787081401375364,0.03948487502858178,0.057464477598683575,0.06411017703336747,0.05391990637535825,0.05211179737363924,0.05574802314007501,0.06127097277379234,0.05649590856822405,0.0495345195427195,0.008087161600405556,0.014921632173519677,0.0028556900158434044,0.0,0.021258910498700122,0.03863946242515207,0.0192377055712009,0.0018396656418656753,0.008282196379949314,0.012034447027587361,0.0027407978476780637,0.0
gTLD,0.037866213003337,0.04332533166302442,0.03565308330192238,0.03133064482470654,0.06401933743443526,0.06965907947878308,0.06561239990607788,0.056799433723286046,0.05534252144134285,0.06134354824893783,0.05416757132698827,0.04967196036867588,0.02145127887339325,0.025700683943404547,0.020181201981850236,0.011790365436606554,0.03844314926801011,0.05161373930650501,0.03586941841076136,0.027587954286373784,0.05386421326011089,0.0668135927527912,0.060526487828058084,0.04343109325514351
