Phish,url,response url,https,urlLength:<=50,urlLength:<=100,urlLength:>100,Special_char,Title tag,Description tag,Keywords tag,SEO tag name=title,SEO tag name=description,SEO tag name=keywords,SEO tag property=og:title,SEO tag property=og:description,SEO tag property=og:keywords,SEO tag property=og:site,Corp_Rate_All:20,Corp_Rate_All:40,Corp_Rate_All:60,Corp_Rate_All:80,Corp_Rate_All:100,Corp_Rate_Link:20,Corp_Rate_Link:40,Corp_Rate_Link:60,Corp_Rate_Link:80,Corp_Rate_Link:100,Corp_Rate_Script:20,Corp_Rate_Script:40,Corp_Rate_Script:60,Corp_Rate_Script:80,Corp_Rate_Script:100,Corp_Rate_Img:20,Corp_Rate_Img:40,Corp_Rate_Img:60,Corp_Rate_Img:80,Corp_Rate_Img:100,Is_gverify,Is_msverify,Is_twitter,facebook,line,gTLD,HTML_Length<10000
1,https://consultasonliine.org/boloes/,https://consultasonliine.org/cgi-sys/suspendedpage.cgi,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
1,https://olx.resmalo.cyou/payment/419876afec14/pocztowy,https://olx.resmalo.cyou/payment/419876afec14/pocztowy,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1,https://regulariser-peageroute.com/,https://www.lemonde.fr/,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
1,https://acesse-consultar.vercel.app/,https://acesse-consultar.vercel.app/,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
1,https://138-68-183-9.cprapid.com/de/update.php,https://138-68-183-9.cprapid.com/de/update.php,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
1,https://fb-helppline-service.vercel.app/,https://fb-helppline-service.vercel.app/,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1,https://4z8.7bd.myftpupload.com/login.php,https://4z8.7bd.myftpupload.com/login.php,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
1,https://atencionproame.webcindario.com/,https://atencionproame.webcindario.com/,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
1,https://paso1.webcindario.com/,https://paso1.webcindario.com/,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
1,https://produban-online.webcindario.com/,https://produban-online.webcindario.com/,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
