no.,score,url,https,length:<=50,length:<=100,length:>100,special_char
12,phishtank,https://btinternet.makeweb.co/,1,1,0,0,0
13,phishtank,https://2ffjow.share-eu1.hsforms.com/211irh5FTR_GmwfkpwIozcg,1,0,1,0,1
14,phishtank,https://2ffjng.share-eu1.hsforms.com/2CBYUEgR8S7aARLX-Y8kZEA,1,0,1,0,1
15,phishtank,https://2ffjn2.share-eu1.hsforms.com/2_LkMabLSTvqgtx5r69wCKw,1,0,1,0,1
20,phishtank,https://www.dropbox.com/scl/fi/zd9as25prq9iadoji3lit/YOUR-LATEST-BILL-IS-READY.paper?rlkey=66gixujfy1hmnp7j0up7n1xm3&st=zj8vbxkt&dl=0,1,0,1,1,1
21,phishtank,https://www.dropbox.com/scl/fi/a660mnu1shnp9qqf4u4qh/Your-Latest-Bill-Is-Ready.paper?rlkey=qubirg3ewzchlf7keuuustbnm&st=aczs5keu&dl=0,1,0,1,1,1
22,phishtank,https://www.dropbox.com/scl/fi/iv6zek2n0y1weel5cdrxn/Your-Latest-Bill-Is-Ready.paper?rlkey=2tzgl1slfefmcpc9wa09s9ic4&st=7simj3x4&dl=0,1,0,1,1,1
23,phishtank,https://www.dropbox.com/scl/fi/m8y9epnpsipvl9wopug4n/Shared-a-dropbox-file,1,0,1,0,1
24,phishtank,https://www.dropbox.com/scl/fi/51004ysef2r4ir6x1s6f3/BT-EE-SERVICE-SUPPORT.paper?rlkey=np6rzzzavxt8k61oe57lex60d&st=ezpayban&dl=0,1,0,1,1,1
25,phishtank,https://us2.campaign-archive.com/?u=44e4b59ee940e43ed597aafb9&id=b838f5fcbf,1,0,1,0,1
