Features,rf_mean_x,rf_75%_x,rf_50%_x,rf_25%_x,rf_mean_y,rf_75%_y,rf_50%_y,rf_25%_y,rf_mean,rf_75%,rf_50%,rf_25%,dts_mean_x,dts_75%_x,dts_50%_x,dts_25%_x,dts_mean_y,dts_75%_y,dts_50%_y,dts_25%_y,dts_mean,dts_75%,dts_50%,dts_25%
Title tag,0.2866044131060453,0.2915116101844018,0.28618631307312603,0.2752815428146722,0.2920868862086681,0.2988839183097385,0.2892186814890678,0.2841685213925968,0.27861557014931065,0.2904264523578979,0.28138002301197507,0.2696213094724174,0.5256709396664924,0.5451598161293952,0.5283169972374067,0.511614412533218,0.5151787224148713,0.5306713522108888,0.511681598389313,0.49916013361641143,0.5016082908952432,0.5199034175225522,0.5011807188550774,0.4916110789102986
Is_twitter,0.11676732639817364,0.12192871324042329,0.11470196938880858,0.10880318320802261,0.11439586352473782,0.12086058316188644,0.11470761437950583,0.10881034378768949,0.10052078932536365,0.10541241808567448,0.10003202773766537,0.0948656089051699,0.08714586956937556,0.09397891296790908,0.08481630229338744,0.07731912370134215,0.12284992794924618,0.13186395546578414,0.12089136755356061,0.11285858217987682,0.15453828879168618,0.17417711243490383,0.15616280803453664,0.13210187622832242
Special_char,0.06819724096186132,0.07385397531391716,0.06753802943041212,0.06412519579163017,0.07949604148071562,0.08466661381218304,0.07995844424972093,0.07633167073108245,0.09369894535324955,0.10246367885905036,0.09435529983207097,0.08863638463891868,0.06371745220116862,0.07318149230771381,0.06394110424040257,0.057030398660513626,0.064512848736513,0.07216283921919749,0.06211067772106957,0.057009804044166765,0.05465472975744344,0.06530828128029573,0.056243400882829725,0.04523068845051886
Corp_Rate_Link:20,0.05675808066924456,0.06255496422381836,0.055261439417307455,0.051794177039445964,0.052678415537818116,0.058289368505147314,0.052343144654914915,0.046286035193816945,0.0704787204812509,0.07703181723798125,0.0721089970462081,0.06657225249801449,0.005871785522908764,0.0038526823540383174,0.0,0.0,0.0038491436443854584,0.0043811017101665,0.0035684856809075926,0.0,0.009811327124072771,0.023432631810153176,0.0047288333716537425,0.0004036399254318029
Corp_Rate_Link:40,0.05570438039576901,0.05949980190007026,0.0562174827843716,0.050657043423204866,0.06071947048637303,0.06797235735469673,0.05830388221582795,0.05471912798749054,0.07182932533689454,0.07804324436768073,0.07457984292003308,0.0643442019093919,0.006469001725186642,0.009682594465567072,0.006401705337570712,0.0,0.004662256187741484,0.004826587434736165,0.0016193309730528835,0.0006659151780298609,0.007488395973185129,0.01211332806610964,0.005556891885338956,0.00041417151213926173
Is_msverify,0.05340352026248869,0.059056659840897266,0.05368998719480847,0.05007022782940421,0.061927313995296926,0.06700716847695438,0.06197679663210042,0.0578842970920845,0.058747058969131113,0.06518153128483216,0.05886398130554962,0.053717654372757564,0.006792680161777145,0.009471999740265594,0.00600686735266329,0.0027389555550711136,0.01324020455945157,0.01737282380933267,0.014365168634542298,0.008315324705934268,0.012515901812110658,0.019317803131772938,0.01111144946874012,0.007154909176542892
AREA,0.047813793245991686,0.05093055829580261,0.047862105392716583,0.04286060491899037,0.04322811163279189,0.04705551765746796,0.044914265790180985,0.0383958092275526,0.037445671782929776,0.04074676178856247,0.038636661987996625,0.0339005287936199,0.02575114706577153,0.03050235576707007,0.026705982882803615,0.02104355538903031,0.030745764331624764,0.03535939956432435,0.030011272343586068,0.025449421157009065,0.024935019604554756,0.03707687620294782,0.025941528111373947,0.01596723724625669
Corp_Rate_All:20,0.04765040843041199,0.05074698268196835,0.04549670730985862,0.04405565075507315,0.04040782766062307,0.04297324733700569,0.04106667099711542,0.03754598978562869,0.03977054913608909,0.04528462525293686,0.03929748402154626,0.035822002321492116,0.022735003424837398,0.040415911447447786,0.0189764310089436,0.003729926706079612,0.02133200593644581,0.03452675514152867,0.02219498892652789,0.00416627282173909,0.0298419447997618,0.040140035798266534,0.03290782854103546,0.02086694020234145
line tag,0.04758528007064648,0.05153287558098714,0.049877366216670785,0.044956624421936334,0.03886613121820477,0.04152004795394227,0.03981229347229537,0.0351840286852135,0.038575719839965945,0.04103982695610295,0.037784523871112155,0.03596231272065986,0.049764601714306425,0.05741372297230864,0.047531529053669974,0.0389278048461965,0.025044836847848834,0.02901814649415621,0.024260246971265463,0.020081934272605365,0.01921951660292746,0.023670201065125844,0.019042143168276113,0.016876076642990026
Corp_Rate_All:40,0.04741257031276044,0.05112881297226174,0.045705076468737005,0.04287505721457471,0.04092723700936729,0.04412945841305502,0.042403379998342934,0.03574421737993322,0.03787211021288016,0.040902330208980785,0.03860219502645584,0.03620362659675481,0.02191298193171818,0.03667556315883845,0.01806214356355653,0.00804648478539412,0.027365667393451955,0.04092290505585945,0.027202179398313653,0.011414131527006243,0.01836151076390881,0.028699650961585152,0.0172764976239568,0.0002756515806216555
length:<=50,0.028937352593447596,0.03145162624409435,0.02871172618480472,0.026849383032096205,0.030920873765983597,0.03344264233696432,0.030916034868570787,0.02858161503159552,0.026476323971739497,0.027643872927473563,0.02629672130036109,0.024680217220303204,0.07670182576945389,0.08768627314444677,0.0711029020659507,0.0660145496027897,0.05399863258967712,0.05902058717536607,0.05292863729743648,0.047333051411659555,0.03781709034164198,0.043421732631105034,0.035991948991899975,0.027680364874159508
length:>100,0.020322512179539714,0.022818233273103648,0.020223493762122135,0.017546928872764614,0.018257088290854335,0.020455843894868014,0.01743107755756751,0.015940202070915708,0.020005155857187783,0.02191629272397847,0.01969862334176007,0.01840272317071553,0.01190191461087154,0.015864087922611063,0.007988618437080885,0.007103783447945063,0.008002370635146625,0.011446325845132797,0.009035080061637897,0.004641843757753618,0.0153013184105622,0.01744543034395118,0.014793714154821594,0.011996780288494375
length:50-100,0.01734409168563255,0.020413950913860418,0.01664206430714801,0.015517554758626269,0.02007164930426918,0.022187995401503884,0.019530653594059436,0.01703749924625731,0.016370561237407218,0.017501937570884925,0.015856504920851056,0.014318912283307401,0.0017740038629874763,0.002196191164986743,0.0,0.0,0.0026780659968082495,0.004247794556805565,0.0019852641712395985,0.0,0.0037135060058935245,0.00508121500515807,0.0024729539749319103,0.0
https,0.015042389615572069,0.016950284858518783,0.015340907935017693,0.013612327447849036,0.0166274750079777,0.019274540753964457,0.016625750367681214,0.013965362507300749,0.017436778773923835,0.01986855982828349,0.017735666312081837,0.014699355904194404,0.014103765048251952,0.022165837137957518,0.015399506566652277,0.007682892050847339,0.009067089128483537,0.011247957483416123,0.0078929789408312,0.007493437175705376,0.011998931395420784,0.017410933631357997,0.01267998153802524,0.008269289788997177
Is_gverify,0.011679535688651356,0.01324504232678104,0.011301785008132375,0.009579630246152696,0.01092166665718371,0.011836808786527457,0.010739653000080597,0.01022671154316225,0.008198279019988559,0.010034441395532976,0.008104625266230117,0.006834084634009779,0.0011453610582257405,0.0,0.0,0.0,0.00018079698163747467,0.0,0.0,0.0,0.0006942277215873131,0.0,0.0,0.0
facebook tag,0.003568771050430267,0.00441951895012579,0.0035187523345083073,0.0029558492500077267,0.002426281552468169,0.00294467865501576,0.0021185520953692404,0.0020241325226273317,0.002500107219354347,0.0028445775900242795,0.0024190095459469562,0.002236115595514248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
